Update Date,дата,Currency Code,Funds Amount,Transaction Amount,Transaction Type,Verb,Transaction Status,Fee Currency,Fee,Balance Currency,Balance,,Payment Id,Merchant Order Id,Description,Jeton transaction ID,Account ID,Fx Rate,Original date(Created date)
07/02/2023 22:21,7,EUR,"143,25","-145,19",PAYOUT,SENT,APPROVED,EUR,"1,94",EUR,5836.18,,2115743,1403326489,Payout description,f6d462df4b8f423f9de6c4d9da6320e4,a759163a6e324c30a067be90b37241e7,,07/02/2023 22:21
07/02/2023 22:10,7,TRY,95,"3,75",PAY,RECEIVED,APPROVED,EUR,"0,65",EUR,5981.37,,15222978,7060138433,,f6cfe95426db4910b5bd6fd54236f5c5,a759163a6e324c30a067be90b37241e7,0.046,07/02/2023 22:10
07/02/2023 22:00,7,TRY,11791,"529,03",PAY,RECEIVED,APPROVED,EUR,"18,29",EUR,"5977,62","5981,37",15222912,7060099827,,f84a67b626eb43f4a4eef8dc15d93fce,a759163a6e324c30a067be90b37241e7,0.046,07/02/2023 22:00
07/02/2023 21:46,7,EUR,50,"47,87",PAY,RECEIVED,APPROVED,EUR,"2,13",EUR,5448.59,,15222745,7060033569,,b719a9fa5d0d4053b5f7ea6892901b80,a759163a6e324c30a067be90b37241e7,,07/02/2023 21:46
07/02/2023 21:36,7,PLN,25,"4,27",PAY,RECEIVED,APPROVED,EUR,"0,67",EUR,5400.72,,15222678,7059991079,,ea4d7679ee2842c7a94c5d71def3ab86,a759163a6e324c30a067be90b37241e7,0.198,07/02/2023 21:36
07/02/2023 20:56,7,TRY,50,"1,74",PAY,RECEIVED,APPROVED,EUR,"0,58",EUR,5396.45,,15222340,7059794567,,a8c0bcf6347342ffbe8d4d66dab162ae,a759163a6e324c30a067be90b37241e7,0.047,07/02/2023 20:56
07/02/2023 20:46,7,EUR,"122,03","117,56",PAY,RECEIVED,APPROVED,EUR,"4,47",EUR,5394.71,,15222240,7059737523,,55fab30987f74b2b8316847cb312b753,a759163a6e324c30a067be90b37241e7,,07/02/2023 20:46
07/02/2023 20:24,7,PLN,104,"19,4",PAY,RECEIVED,APPROVED,EUR,"1,17",EUR,5277.15,,15222042,7059613789,,66427fceb0c14e8fafb3f724576685ed,a759163a6e324c30a067be90b37241e7,0.198,07/02/2023 20:24
07/02/2023 20:21,7,EUR,"202,01","194,94",PAY,RECEIVED,APPROVED,EUR,"7,07",EUR,5257.75,,15222015,7059597735,,c1be8320908c4202beeb55d10be23fe0,a759163a6e324c30a067be90b37241e7,,07/02/2023 20:21
07/02/2023 20:06,7,EUR,"68,44","-69,63",PAYOUT,SENT,APPROVED,EUR,"1,19",EUR,5062.81,,2115260,1403140683,Payout description,76207d9bae584bbe911720e75faf1e38,a759163a6e324c30a067be90b37241e7,,07/02/2023 20:06
07/02/2023 19:57,7,TRY,579,"25,57",PAY,RECEIVED,APPROVED,EUR,"1,38",EUR,5132.44,,15221832,7059450609,,373eb12ae54546a5b9da7a54eb2d6c57,a759163a6e324c30a067be90b37241e7,0.047,07/02/2023 19:57
07/02/2023 19:06,7,EUR,355,"-359,05",PAYOUT,SENT,APPROVED,EUR,"4,05",EUR,5106.87,,2115128,1403082541,Payout description,041678a852f74c9894fbab4e96bc36d5,a759163a6e324c30a067be90b37241e7,,07/02/2023 19:06
07/02/2023 18:58,7,EUR,100,"96,25",PAY,RECEIVED,APPROVED,EUR,"3,75",EUR,5465.92,,15221236,7059047767,,77a4756b78aa4d12bbf56b8f4b179870,a759163a6e324c30a067be90b37241e7,,07/02/2023 18:58
07/02/2023 18:04,7,PLN,10,"1,4",PAY,RECEIVED,APPROVED,EUR,"0,57",EUR,5369.67,,15220705,7058699365,,6107b3f1f63e4ba9847606d8667fe3a8,a759163a6e324c30a067be90b37241e7,0.198,07/02/2023 18:04
07/02/2023 17:55,7,TRY,200,"8,47",PAY,RECEIVED,APPROVED,EUR,"0,81",EUR,5368.27,,15220616,7058635853,,f133ba070fe341b089d0679d792efc6c,a759163a6e324c30a067be90b37241e7,0.046,07/02/2023 17:55
07/02/2023 17:54,7,EUR,438,"423,26",PAY,RECEIVED,APPROVED,EUR,"14,74",EUR,5359.80,,15220589,7058620405,,b7f1312130c147e0927d90b5d47d291d,a759163a6e324c30a067be90b37241e7,,07/02/2023 17:54
07/02/2023 17:23,7,EUR,10,"9,17",PAY,RECEIVED,APPROVED,EUR,"0,83",EUR,4936.54,,15220294,7058416629,,a4449c38329b4d429e09df2a33337876,a759163a6e324c30a067be90b37241e7,,07/02/2023 17:23
07/02/2023 17:06,7,EUR,179,"-181,29",PAYOUT,SENT,APPROVED,EUR,"2,29",EUR,4927.37,,2114882,1402934141,Payout description,412a62807a22482ba3111456c93fc0e0,a759163a6e324c30a067be90b37241e7,,07/02/2023 17:06
07/02/2023 15:53,7,PLN,300,"56,79",PAY,RECEIVED,APPROVED,EUR,"2,43",EUR,5108.66,,15219542,7057825045,,a72c30692b394fba853daf8fadbd8c7f,a759163a6e324c30a067be90b37241e7,0.197,07/02/2023 15:53
07/02/2023 15:16,7,PLN,26,"4,45",PAY,RECEIVED,APPROVED,EUR,"0,67",EUR,5051.87,,15219232,7057581057,,57062af6ed82435da79ff6b4b9d733d8,a759163a6e324c30a067be90b37241e7,0.197,07/02/2023 15:16
07/02/2023 15:03,7,PLN,100,"18,55",PAY,RECEIVED,APPROVED,EUR,"1,15",EUR,5047.42,,15219111,7057493295,,cc5a4e40be7243809353231e4e68d170,a759163a6e324c30a067be90b37241e7,0.197,07/02/2023 15:03
07/02/2023 15:00,7,TRY,100,"4,01",PAY,RECEIVED,APPROVED,EUR,"0,66",EUR,5028.87,,15219071,7057466827,,e2ca15b4f0a1418d98832b484d1fbb47,a759163a6e324c30a067be90b37241e7,0.047,07/02/2023 15:00
07/02/2023 14:50,7,PLN,"6,5","0,73",PAY,RECEIVED,APPROVED,EUR,"0,55",EUR,5024.86,,15218998,7057405435,,c302a5cdfddb4f3f917d4188c0f77b96,a759163a6e324c30a067be90b37241e7,0.197,07/02/2023 14:50
07/02/2023 14:36,7,EUR,400,"-404,5",PAYOUT,SENT,APPROVED,EUR,"4,5",EUR,5024.13,,2114597,1402753869,Payout description,16fb703eda034453afa1b313e42bca1a,a759163a6e324c30a067be90b37241e7,,07/02/2023 14:36
07/02/2023 14:36,7,EUR,377,"-381,27",PAYOUT,SENT,APPROVED,EUR,"4,27",EUR,5428.63,,2114590,1402737363,Payout description,248bd7f114ed474ea18d30fd149763d4,a759163a6e324c30a067be90b37241e7,,07/02/2023 14:36
07/02/2023 14:21,7,EUR,"256,3","-259,37",PAYOUT,SENT,APPROVED,EUR,"3,07",EUR,5809.90,,2114568,1402724365,Payout description,d8f1e477dbcd4c1e8fbad1882c0e4e44,a759163a6e324c30a067be90b37241e7,,07/02/2023 14:21
07/02/2023 14:06,7,TRY,4612,"-245,72",PAYOUT,SENT,APPROVED,EUR,"2,93",EUR,6069.27,,2114539,1402709031,Payout description,499aef4d779441b788cc83f78274c559,a759163a6e324c30a067be90b37241e7,0.053,07/02/2023 14:06
07/02/2023 13:59,7,PLN,53,"9,61",PAY,RECEIVED,APPROVED,EUR,"0,84",EUR,6314.99,,15218586,7057080521,,5e68ed8a6d3c4ea287326eb4653361a6,a759163a6e324c30a067be90b37241e7,0.197,07/02/2023 13:59
07/02/2023 13:31,7,EUR,"200,8","193,77",PAY,RECEIVED,APPROVED,EUR,"7,03",EUR,6305.38,,15218353,7056895641,,57910377149c46daaab856655afd0210,a759163a6e324c30a067be90b37241e7,,07/02/2023 13:31
07/02/2023 12:55,7,TRY,100,"3,99",PAY,RECEIVED,APPROVED,EUR,"0,66",EUR,6111.61,,15218123,7056665519,,70accb29791d40f894584dc8ea365594,a759163a6e324c30a067be90b37241e7,0.047,07/02/2023 12:55
07/02/2023 12:54,7,TRY,1,"44,58",PAY,RECEIVED,APPROVED,EUR,"2,02",EUR,6107.62,,15218107,7056654529,,ad5ba6e74e534217aa185b9658046546,a759163a6e324c30a067be90b37241e7,0.047,07/02/2023 12:54
07/02/2023 12:43,7,TRY,2,"89,7",PAY,RECEIVED,APPROVED,EUR,"3,53",EUR,6063.04,,15218031,7056588529,,f3d399c3671943fd98101afd4a52390f,a759163a6e324c30a067be90b37241e7,0.047,07/02/2023 12:43
07/02/2023 12:24,7,EUR,210,"202,67",PAY,RECEIVED,APPROVED,EUR,"7,33",EUR,5973.34,,15217910,7056460167,,a4189cee3fc84aa281f32f95e17466dd,a759163a6e324c30a067be90b37241e7,,07/02/2023 12:24
07/02/2023 12:14,7,EUR,3,-3,DECREASE_BALANCE,SENT,APPROVED,EUR,0,EUR,5770.67,,15112195,6983513881,,2220ad35d9e3492daba16a5114f09ed2,a759163a6e324c30a067be90b37241e7,0.046,28/01/2023 16:21
07/02/2023 12:09,7,TRY,500,"22,03",PAY,RECEIVED,APPROVED,EUR,"1,26",EUR,8770.67,,15112119,6983444301,,f349bba29c4d45e680e770c86047fa30,a759163a6e324c30a067be90b37241e7,0.046,28/01/2023 16:14
07/02/2023 12:06,7,TRY,"603,57","-32,55",PAYOUT,SENT,APPROVED,EUR,"0,82",EUR,8748.64,,15112020,6983374837,,84a4dc64a49e4bd0972ce42d8107ace6,a759163a6e324c30a067be90b37241e7,0.046,28/01/2023 16:07
07/02/2023 11:27,7,EUR,4,"3,37",PAY,RECEIVED,APPROVED,EUR,"0,63",EUR,8781.19,,15111937,6983316767,,0d62b3c84df740a6aaf73d0ca99b4540,a759163a6e324c30a067be90b37241e7,0.199,28/01/2023 16:01
07/02/2023 11:21,7,EUR,65,"62,38",PAY,RECEIVED,APPROVED,EUR,"2,62",EUR,8777.82,,15111892,6983286233,,fa2556e9d7444fdab0e587f5efbea257,a759163a6e324c30a067be90b37241e7,,28/01/2023 15:59
07/02/2023 11:21,7,EUR,50,-51,PAYOUT,SENT,APPROVED,EUR,1,EUR,8715.44,,15111709,6983128533,,70eaeb2a5a8445c4a062b2c8a197756f,a759163a6e324c30a067be90b37241e7,0.046,28/01/2023 15:40
07/02/2023 11:18,7,EUR,100,"96,25",PAY,RECEIVED,APPROVED,EUR,"3,75",EUR,8766.44,,15111512,6982977679,,b06b2c1687a54b96b18be7db35fad3b1,a759163a6e324c30a067be90b37241e7,0.046,28/01/2023 15:24
07/02/2023 10:54,7,TRY,187,"83,71",PAY,RECEIVED,APPROVED,EUR,"3,33",EUR,8670.19,,15111461,6982941251,,16ec56c9a8584a3ea34c488e84a9b9b2,a759163a6e324c30a067be90b37241e7,,28/01/2023 15:21
07/02/2023 10:54,7,TRY,42,"188,64",PAY,RECEIVED,APPROVED,EUR,"6,86",EUR,8586.48,,2084325,1388359375,Payout description,d202d4d697f1410d8948f1e76222cdf3,a759163a6e324c30a067be90b37241e7,,28/01/2023 15:06
07/02/2023 10:38,7,PLN,200,"37,78",PAY,RECEIVED,APPROVED,EUR,"1,79",EUR,8397.84,,15111229,6982730955,,1ac7b1b765904fd59eab0914cb42d34e,a759163a6e324c30a067be90b37241e7,,28/01/2023 14:59
07/02/2023 10:36,7,EUR,15,"14,01",PAY,RECEIVED,APPROVED,EUR,"0,99",EUR,8360.06,,15111113,6982635139,,713c006288d5468a832ef0e64665a2c5,a759163a6e324c30a067be90b37241e7,,28/01/2023 14:50
07/02/2023 10:20,7,EUR,16,"14,98",PAY,RECEIVED,APPROVED,EUR,"1,02",EUR,8346.05,,2084272,1388319599,Payout description,069e85cbdeda4c64baf5811aea15e428,a759163a6e324c30a067be90b37241e7,0.052,28/01/2023 14:36
07/02/2023 10:18,7,PLN,101,"18,82",PAY,RECEIVED,APPROVED,EUR,"1,15",EUR,8331.07,,15110786,6982360053,,d49a14b85d9b4dd7b4b7e549bad60da4,a759163a6e324c30a067be90b37241e7,0.046,28/01/2023 14:21
07/02/2023 10:03,7,PLN,21,"3,51",PAY,RECEIVED,APPROVED,EUR,"0,64",EUR,8312.25,,2084243,1388313083,Payout description,2aeaf708665541609b37a447b111600c,a759163a6e324c30a067be90b37241e7,0.052,28/01/2023 14:21
07/02/2023 10:01,7,PLN,101,"18,85",PAY,RECEIVED,APPROVED,EUR,"1,15",EUR,8308.74,,15110595,6982194455,,eee7593e36664ad2bb898dbdc139ac7a,a759163a6e324c30a067be90b37241e7,0.199,28/01/2023 14:05
07/02/2023 9:46,7,PLN,50,"9,06",PAY,RECEIVED,APPROVED,EUR,"0,83",EUR,8289.89,,15110463,6982069415,,236a9db4a2674452b91fa78c4c9e85e5,a759163a6e324c30a067be90b37241e7,0.046,28/01/2023 13:52
